Posição,Função,Atributos positivos,Atributos negativos,Descrição,todas colunas
Atacante,Raumdeuter,"Receber passes Progressivos, Chutes em Contra Ataque, Movimentos sem a  bola",,Atacante com boa leitura de espaço e movimentação,"playerStats_off_the_ball,playerStats_received_progressive_pass_algoritmo,playerStats_shot_in_counterattack_algoritmo,playerStats_acceleration_algoritmo,"
Atacante,Deep Lying,"Passe chave, Passe, xA/assistência, Passes Progressivos/Passes %",,"Atacante que se destaca mais na parte da criação, que possui bons números relacionados à assistências","xG/chute,playerStats_pre_assist_algoritmo,playerStats_under_pressure_algoritmo,playerStats_through_pass_algoritmo,playerStats_pre_pre_assist_algoritmo,playerStats_cross_algoritmo,playerStats_pre_shot_assist_algoritmo,playerStats_smart_pass_algoritmo,playerStats_key_pass_algoritmo,playerStats_pass_algoritmo,xA/assistência,Passes Progressivos/Passes %,playerStats_acceleration_algoritmo,playerStats_dribble_with_take_on_algoritmo,playerStats_run_algoritmo,"
Atacante,Velocista,"Aceleração, Corridas, Dribles com ultrapassagem, Dribles",,"Atacante de velocidade, que possui dribles e busca conduzir mais a bola ","playerStats_progressive_run_algoritmo,playerStats_dribble_with_space_algoritmo,playerStats_successful_dribble_leading_to_shot_success,playerStats_dribble_with_progress,playerStats_dribble_algoritmo,playerStats_controlled_penalty_area_entry_algoritmo,playerStats_diagonal_to_flank_algoritmo,"
Atacante,Pressing,"Pressão na bola, Pressão pós perda, Métricas defensivas gerais",,Atacantes que pressionam bastante os adversários e possuem uma boa participação defensiva,"playerStats_pressed_sequence_recovery_algoritmo,playerStats_recovery_algoritmo,playerStats_defensive_duel_algoritmo,playerStats_interception_algoritmo,playerStats_covering_depth,playerStats_dangerous_opponent_half_recovery_algoritmo,playerStats_defensive_positioning,playerStats_pressing_duel,playerStats_quick_recovery_algoritmo,"
Atacante,Aéreo,"Duelos aéreos, Proteção de bola, Movimentos de pivô",,"Atacantes que são dominantes no aéreo, protegem bem a bola e fazem movimentos de pivô","playerStats_head_shot_algoritmo,playerStats_head_pass_algoritmo,playerStats_linkup_play_algoritmo,playerStats_aerial_duel_algoritmo,playerStats_offensive_shielding_algoritmo,"
Atacante,Goleador,"Média de gols, Média de xG, Finalizações por toque na área",,"Atacantes que são goleadores, possuem bons números ligados a atributos de finalização","playerStats_shot_from_box_algoritmo,Gol decisivo/gol %,playerStats_opportunity_algoritmo,playerStats_touch_in_penalty_area_algoritmo,playerStats_touch_in_box,Toque na área %,xG/chute,Finalização/Toque na área,playerStats_non_penalty_goal,"
Meio Campista,Armador,"Passe chave, Passe, xA/assistência, Passes Progressivos/Passes %",,"Meio campo armador, com bons números de criação","xG/chute,playerStats_pre_assist_algoritmo,playerStats_under_pressure_algoritmo,playerStats_through_pass_algoritmo,playerStats_pre_pre_assist_algoritmo,playerStats_cross_algoritmo,playerStats_pre_shot_assist_algoritmo,playerStats_smart_pass_algoritmo,playerStats_key_pass_algoritmo,playerStats_pass_algoritmo,xA/assistência,Passes Progressivos/Passes %,playerStats_acceleration_algoritmo,playerStats_dribble_with_take_on_algoritmo,playerStats_run_algoritmo,"
Meio Campista,Goleador,"Média de gols, Média de xG, Finalizações por toque na área",,"Meio campo que joga como um atacante quase, se projeta na área e possui boa finalização","playerStats_shot_from_box_algoritmo,Gol decisivo/gol %,playerStats_opportunity_algoritmo,playerStats_touch_in_penalty_area_algoritmo,playerStats_touch_in_box,Toque na área %,xG/chute,Finalização/Toque na área,playerStats_non_penalty_goal,"
Meio Campista,Ritimista,"Passes, Passes recebidos, Toques na bola",,Meio campo que gosta de ditar o ritmo; grande números de passes dados e recebidos,"playerStats_received_pass,playerStats_pass_algoritmo,playerStats_under_pressure_algoritmo,playerStats_shot_buildup_pass_algoritmo,playerStats_touch,"
Meio Campista,Ponta,"Cruzamentos, Dribles em velocidade, Aceleração",Entradas na área com a bola,"Meio campo que cruza muito, provavelmente buscando os lados do campo","playerStats_acceleration_algoritmo,playerStats_dribble_with_take_on_algoritmo,playerStats_run_algoritmo,playerStats_cross,playerStats_progressive_run_algoritmo,playerStats_dribble_with_progress,playerStats_controlled_penalty_area_entry_algoritmo,"
Meio Campista,Raumdeuter,"Receber passes Progressivos, Chutes em Contra Ataque, Movimentos sem a  bola, Toques na área",,Meio campo com boa leitura de espaço e movimentação,"playerStats_off_the_ball,playerStats_recovery_counterpressing_algoritmo,playerStats_received_long_pass_algoritmo,playerStats_touch_in_box_algoritmo,playerStats_received_dangerous_pass_algoritmo,playerStats_shot_in_counterattack_algoritmo,playerStats_action_in_counterattack,"
Volante,Construtor,"Passe chave, Passe, xA/assistência, Passes Progressivos/Passes %, Passes infiltrados",,Volante que tem muita atuação no terço final e na criação de oportunidades de gol,"playerStats_key_pass_algoritmo,playerStats_pass_algoritmo,xA/assistência,playerStats_smart_pass_algoritmo,Passes Progressivos/Passes %,playerStats_through_pass_algoritmo,playerStats_long_pass_into_duel_algoritmo,playerStats_pass_to_another_flank_success,playerStats_pre_assist_algoritmo,playerStats_under_pressure_algoritmo,playerStats_pre_pre_assist_algoritmo,playerStats_cross_algoritmo,playerStats_pre_shot_assist_algoritmo,"
Volante,Ritimista,"Passes, Passes recebidos, Toques na bola",,"Volante que dita o ritmo do jogo, passa e recebe muitas vezes","playerStats_received_pass,playerStats_pass_algoritmo,playerStats_under_pressure_algoritmo,playerStats_shot_buildup_pass_algoritmo,playerStats_touch,"
Volante,Box to box,"Duelos aéreos na própria área, Toque na área adversária, Oportunidades criadas, Desarme, Interceptação",,Volante área a área. Tem ações defensivas e bons números ofensivos,"playerStats_aerial_duel_in_own_penalty_area,playerStats_touch_in_box,playerStats_opportunity_algoritmo,playerStats_defensive_duel_algoritmo,playerStats_interception_algoritmo,"
Volante,Defensivo,"Desarmes, Interceptações, Cobertura defensiva","Toques na área, Finalizações",Volante com foco principal em defender; possui muitas ações defensivas e poucas ofensivas,"playerStats_defensive_duel_algoritmo,playerStats_interception_algoritmo,playerStats_covering_depth,playerStats_defensive_positioning,playerStats_touch_in_box_algoritmo,playerStats_shot_algoritmo,"
Volante,Recuperador,"Pressão na bola, Pressão pós perda, Duelo defensivo",,Volante que pressiona muito e tem muitos duelos defensivos,"playerStats_defensive_duel,playerStats_pressing_duel,playerStats_quick_recovery_algoritmo,playerStats_interception_algoritmo,playerStats_foul,"
Volante,Deep Lying,"Passes progressivos, Passes longos, Viradas de jogo",Toques na área,Volante que tem como característica o passe progressivo e longo. Não pisa muito na área,"playerStats_defensive_duel_algoritmo,playerStats_interception_algoritmo,playerStats_pass_to_another_flank_success,Passes Progressivos/Passes %,playerStats_progressive_pass_algoritmo,playerStats_long_pass_algoritmo,"
Volante,Raumdeuter,"Receber passes Progressivos, Chutes em Contra Ataque, Movimentos sem a  bola, Toques na área",,Volante com boa leitura de espaço e muita movimentação,"playerStats_off_the_ball,playerStats_recovery_counterpressing_algoritmo,playerStats_received_long_pass_algoritmo,playerStats_touch_in_box_algoritmo,playerStats_received_dangerous_pass_algoritmo,playerStats_shot_in_counterattack_algoritmo,playerStats_action_in_counterattack,"
Extremo,Armador,"Passe chave, Passe, xA/assistência, Passes Progressivos/Passes %",,Extremo que é bastante criativo e decisivo com passes chaves e assistências,"playerStats_key_pass_algoritmo,playerStats_pass_algoritmo,xA/assistência,playerStats_smart_pass_algoritmo,Passes Progressivos/Passes %,playerStats_through_pass_algoritmo,playerStats_long_pass_into_duel_algoritmo,playerStats_pass_to_another_flank_success,playerStats_pre_assist_algoritmo,playerStats_under_pressure_algoritmo,playerStats_pre_pre_assist_algoritmo,playerStats_cross_algoritmo,playerStats_pre_shot_assist_algoritmo,"
Extremo,Ponta Clássico,"Cruzamentos, Dribles em velocidade, Aceleração",Entradas na área com a bola,Extremo que cruza muito e explora dribles e a velocidade,"playerStats_acceleration_algoritmo,playerStats_dribble_with_take_on_algoritmo,playerStats_run_algoritmo,playerStats_cross,playerStats_progressive_run_algoritmo,playerStats_dribble_with_progress,playerStats_controlled_penalty_area_entry_algoritmo,"
Extremo,Invertido,"Finalização, Entrada na área com a bola, Toques na área","Cruzamentos, Corridas do centro para o corredor","Extremo mais agudo, que procura centralizar o jogo e entrar na área ","playerStats_controlled_penalty_area_entry_algoritmo,playerStats_shot_algoritmo,playerStats_touch_in_box_algoritmo,playerStats_diagonal_to_flank_algoritmo,playerStats_cross,"
Extremo,Força,"Duelo aéreo, Proteção de bola, Aceleração e Duelos defensivos",,"Extremo que ganha muitos duelos, protege bem a bola e tem boa aceleração","playerStats_aerial_duel_algoritmo,playerStats_offensive_shielding_algoritmo,playerStats_defensive_duel_algoritmo,playerStats_acceleration_algoritmo,"
Extremo,Raumdeuter,"Receber passes Progressivos, Chutes em Contra Ataque, Movimentos sem a  bola, Toques na área",,Extremo com boa leitura de espaço e muita movimentação,"playerStats_off_the_ball,playerStats_received_progressive_pass_algoritmo,playerStats_shot_in_counterattack_algoritmo,playerStats_acceleration_algoritmo,"
Extremo,Goleador,"Média de gols, Média de xG, Finalizações por toque na área",,"Extremos que são goleadores, possuem bons números ligados a atributos de finalização","playerStats_shot_from_box_algoritmo,Gol decisivo/gol %,playerStats_opportunity_algoritmo,playerStats_touch_in_penalty_area_algoritmo,playerStats_touch_in_box,Toque na área %,xG/chute,Finalização/Toque na área,playerStats_non_penalty_goal,"
Extremo,Pressing,"Pressão na bola, Pressão pós perda, Duelo defensivo",,"Extremo que pressiona muito, ganha duelos defensivos","playerStats_pressed_sequence_recovery_algoritmo,playerStats_recovery_algoritmo,playerStats_defensive_duel_algoritmo,playerStats_interception_algoritmo,playerStats_covering_depth,playerStats_dangerous_opponent_half_recovery_algoritmo,playerStats_defensive_positioning,playerStats_pressing_duel,playerStats_quick_recovery_algoritmo,"
Lateral,Construtor,"Passe chave, Passe, xA/assistência, Passes Progressivos/Passes %, Passes infiltrados",,Lateral que tem muita atuação no terço final e na criação de oportunidades de gol,"playerStats_key_pass_algoritmo,playerStats_pass_algoritmo,xA/assistência,playerStats_smart_pass_algoritmo,Passes Progressivos/Passes %,playerStats_through_pass_algoritmo,playerStats_long_pass_into_duel_algoritmo,playerStats_pass_to_another_flank_success,playerStats_pre_assist_algoritmo,playerStats_under_pressure_algoritmo,playerStats_pre_pre_assist_algoritmo,playerStats_cross_algoritmo,playerStats_pre_shot_assist_algoritmo,"
Lateral,Defensivo,"Desarmes, Interceptações, Cobertura defensiva","Cruzamentos, Toques na área, Toques no terço final",Lateral que possui bons números defensivos e não atua muito no terço final,"playerStats_defensive_duel_algoritmo,playerStats_interception_algoritmo,playerStats_covering_depth,playerStats_defensive_positioning,playerStats_touch_in_box_algoritmo,playerStats_touch_in_final_third,playerStats_cross,"
Lateral,Recuperador,"Pressão na bola, Pressão pós perda, Duelo defensivo",,Lateral que pressiona muito e tem muitos duelos defensivos,"playerStats_defensive_duel,playerStats_pressing_duel,playerStats_quick_recovery_algoritmo,playerStats_interception_algoritmo,playerStats_foul,"
Lateral,Invertido,"Finalização, Entrada na área com a bola, Toques na área","Cruzamentos, Corridas do centro para o corredor",Lateral que costuma centralizar o jogo no terço final,"playerStats_controlled_penalty_area_entry_algoritmo,playerStats_shot_algoritmo,playerStats_touch_in_box_algoritmo,playerStats_diagonal_to_flank_algoritmo,playerStats_cross,"
Lateral,Ofensivo,"Cruzamentos, Dribles em velocidade, Toques no terço final",,"Lateral que cruza muito, possui velocidade e presença no terço final","playerStats_acceleration_algoritmo,playerStats_dribble_with_take_on_algoritmo,playerStats_run_algoritmo,playerStats_progressive_run_algoritmo,playerStats_cross_algoritmo,playerStats_touch_in_box_algoritmo,playerStats_touch_in_final_third,"
Zagueiro,Construtor,"Passes, Passes recebidos, Toques na bola, Passes progressivos, Passes infiltrados",,Zagueiro que troca muitos passes e têm muita progressão,"playerStats_received_pass,playerStats_pass_algoritmo,playerStats_smart_pass_algoritmo,Passes Progressivos/Passes %,playerStats_through_pass_algoritmo,"
Zagueiro,Recuperador,"Pressão na bola, Duelo defensivo, Velocidade, Faltas",,"Zagueiro que tem velocidade, desarma muito e faz pressão no adversário","playerStats_defensive_duel,playerStats_pressing_duel,playerStats_quick_recovery_algoritmo,playerStats_interception_algoritmo,playerStats_foul,playerStats_run,playerStats_covering_depth,"
